title,author,genre,first_published
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,1997
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,1998
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,1999
Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,2000
Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy,2003
Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy,2005
Harry Potter and the Deathly Hallows,J.K. Rowling,Fantasy,2007
A Brief History of Time,Stephen Hawking,Non Fiction,1988
The Universe in a Nutshell,Stephen Hawking,Non Fiction,2001
Frankenstein,Mary Shelley,Horror,1818
The Martian,Andy Weir,Science Fiction,2014
Ready Player One,Ernest Cline,Science Fiction,2011
Armada,Ernest Cline,Science Fiction,2015
Pride and Prejudice,Jane Austen,Classic,1813
Emma,Jane Austen,Classic,1815
